iter	Passed	Remaining
850	1185	207
851	1187	206
852	1188	204
853	1189	203
854	1191	202
855	1192	200
856	1194	199
857	1195	197
858	1196	196
859	1198	195
860	1200	193
861	1202	192
862	1203	191
863	1204	189
864	1206	188
865	1207	186
866	1208	185
867	1209	183
868	1211	182
869	1212	181
870	1213	179
871	1214	178
872	1216	176
873	1217	175
874	1218	174
875	1219	172
876	1220	171
877	1222	169
878	1223	168
879	1224	166
880	1225	165
881	1227	164
882	1229	162
883	1232	161
884	1234	160
885	1235	158
886	1236	157
887	1237	156
888	1238	154
889	1240	153
890	1241	151
891	1243	150
892	1244	149
893	1246	147
894	1247	146
895	1249	144
896	1250	143
897	1251	142
898	1252	140
899	1254	139
900	1255	137
901	1257	136
902	1258	135
903	1259	133
904	1262	132
905	1264	131
906	1265	129
907	1267	128
908	1268	126
909	1269	125
910	1270	124
911	1271	122
912	1272	121
913	1273	119
914	1275	118
915	1276	117
916	1277	115
917	1278	114
918	1279	112
919	1281	111
920	1282	110
921	1283	108
922	1284	107
923	1285	105
924	1286	104
925	1288	102
926	1289	101
927	1291	100
928	1292	98
929	1294	97
930	1295	95
931	1296	94
932	1297	93
933	1298	91
934	1299	90
935	1300	88
936	1302	87
937	1303	86
938	1304	84
939	1305	83
940	1307	81
941	1308	80
942	1309	79
943	1311	77
944	1312	76
945	1313	74
946	1314	73
947	1315	72
948	1316	70
949	1317	69
950	1319	67
951	1321	66
952	1322	65
953	1323	63
954	1325	62
955	1326	61
956	1327	59
957	1328	58
958	1329	56
959	1329	55
960	1330	54
961	1332	52
962	1333	51
963	1334	49
964	1335	48
965	1336	47
966	1338	45
967	1339	44
968	1340	42
969	1341	41
970	1342	40
971	1343	38
972	1344	37
973	1345	35
974	1346	34
975	1347	33
976	1348	31
977	1350	30
978	1352	29
979	1353	27
980	1354	26
981	1355	24
982	1356	23
983	1357	22
984	1358	20
985	1359	19
986	1361	17
987	1362	16
988	1363	15
989	1365	13
990	1366	12
991	1367	11
992	1368	9
993	1369	8
994	1370	6
995	1371	5
996	1372	4
997	1374	2
998	1375	1
999	1376	0
